,raw_text,label
33,Never went 2 sleep...  and i got class at 2... i need 2 do dis homework...errrr,negative
34,"@beckinelson  oh god!  ..friends like that, arn't really friends! stick with us TJ girrrlllsss. haha. &lt;3",negative
35,#DontBeMadAtMeBecause #Android is by far better than @Apple,negative
36,is really really bored ,negative
37,"Well, I guess I have to go brush my teeth again (kjaslgja garlic) and then actually get dressed. Uggh I dun wanna go to the dermatologist ",negative
38,"waiting for my laundry to dry in Nephi, UT. yup, it's 2:47am ",negative
39,@SolaScrpturaMan I don't have crazy atheists retweet my reply.  I'm sad.    You're more popular than me.,negative
40,#Microsoft just bought #Skype officially. So how's the future of #Skype on any other devices/operating systems? :(,negative
41,I am helping a good friend get setup on Linkedin  His company is in the process of layingoff. ,negative
42,"rats, the director i was hoping to meet (been trying to catch him the last 3 times I've been here) had to pull out of our meeting ",negative
43,baking fails ,negative
44,"is mulling #google+ but hmmm, just aint shore bout nuther social media profile.",negative
45,"@avadri sorry I didn't answer, I wasn't online at all over the weekend ",negative
46,maybe putting twitter as homepage of my web browser was a baddd idea.... ,negative
47,@norizzle I tried! But the people I was with didn't have time! ,negative
48,#Microsoft arrogance again - Ballmer says you need to be a computer scientist to use #Android http://t.co/6PHh3Jb6,negative
49,"RT @gdcurry: Really @Apple?  What have you done to my iTunes now?  I can't click on Music, Movies, TV Shows, or any playlists. I get a l ...",negative
50,Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!,negative
51,it would sewlem my tiny vacation has ended. It is now time for work. ,negative
52,@apple thanks apple for ios 5 and losing all my contacts!,negative
53,A new report reveals that most - 89%!!!! - of gay and lesbian youth in Illinois are harassed. (not okay) ,negative
54,Really sick! ,negative
55,I getting very tired of getting flames.  I just my fourth one in since Leon offer to kick the person's butt.  I need chocolate  -tears up-,negative
56,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?,negative
57,Still working on a gigantic proposal. Just realised that there are sections still outstanding. Will need extra effort this weekend. ,negative
58,"#Nokia workers ask, is chief executive a #Microsoft mole? http://t.co/lWJP9GiU",negative
59,can't find anything nice to wear to da beach ,negative
60,efffffffffff I need a pool    ,negative
61,"@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?",negative
62,"must beat HIM with the amount of followers i have, i need to win ",negative
63,@ConnieBrockway  So sad the Daniel Craig popsicle won't be out here in the States. ,negative
64,"@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( 
#itjustworks",negative
65,tommy 9th??? ,negative
66,going to the mall to look for a dress. then alexis's sweet 16 party later ! no cell.  ,negative
67,im so bella sittin here cryin and so emotional because im lonely sucks tho ,negative
68,@CaraNScott AWW 5ME I miss you too! I wish I were there  Have you had any CalPis yet? Drink some for me ,negative
69,embarrassed. reality check ,negative
70,@james__buckley Thats slyyyy if they did ,negative
71,"@Mr_SOS thanks, always nice to start my morning with my husband putting me down   ...... j/k....... sort of ;)",negative
72,@f_nadzirah why arent you replying on msn? ,negative
73,"So let me get this straight, #microsoft makes windows phone, microsoft owns skype but there's no #skype app for windows phone.",negative
74,"#appleupdates
2 success stories- iPhone & iPad 2.
Now been on phone to Apple 45 mins. iPad 1 WILL not. Wasting my time 
@apple
#Replaceit!",negative
75,Why am I still awake?! ,negative
76,R.I.P. Sidekick. You've been through quite a lot with me ,negative
77,can't sleep have to be up for 6am for work ,negative
78,@b4dm1n7on I heard that you can't make it!! ,negative
79,Sick... Great. ,negative
80,is still feelin low ,negative
81,aaarrgh... after 40% taxes and 30% for espp and 401k these bonus payouts don't excite me  only consolation is this lot better than nothing,negative
82,"wow, i can't believe a tornado caused damage to southlands mall.  scary",negative
83, srsly...,negative
84,At work thank god for dvr cause i fell asleep before tru blood so sad  ; ) Kris,negative
85,@DavidArchie..congrats! 3 nominations for TCA! up again w/ Cook! can't get away from him... haha ...Good Luck! sori Canadians can't vote ,negative
86,Just on my way to start nightshift ,negative
87,@MattyV AND! you wouldnt even be able to go. its too far for you ,negative
88,"liv is so much cooler than me, i wish i could be her  *sigh*",negative
89,removing all @apple shit.,negative
90,Swedish fish can't even make me feel better ,negative
91,Just finished the first day of training with Sir Manci. Learned a lot today and the training was great. Back to work tomorrow ,negative
92,hand hurts really bad!!!! ,negative
93,@OnlyQ NO!  $%@#$ People on MMO forums are saying its taking from 2 days to a week! wtf? So much for playing this weekend.,negative
94,@AravindJose I'm afraid about the electricity.. the bulbs are blinking here.. will go off anytime.. I was rushing with some pending jobs ,negative
95,"@heresMonique hey u, no not yet  soon maybe tomorrow!",negative
96,last tonight show with jay  looking forward to conan ,negative
97,@TheMightyFoz I'm sorry you got troubles with that pic-. ,negative
98,is up again... I soooo need to go to bed earlier tonight... I'll be in need of coffeine asap ,negative
99,"RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ...",negative
100,#Google go went gone..server issues! first time since ages...now my faith in Tech. from #RIM to #Microsoft has been completely lifted,negative
101,what am i going to name my blog? My first and lastname were already taken ,negative
102,@kelbub  Oh man  he'd have made a great Leon  #asylm,negative
103,@piratzjohnny I'm not coming back until July 5th ,negative
104,@heathenshearth  for your poor head! wine in moderation with your motrin! *grin*,negative
105,Yo all. Im noob. Plz hlp me ,negative
106,Bummer...we just learned that we won't be able to ride the camels due to the recent rains.   #DSAA09,negative
107,@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T,negative
108,is very very very tired ,negative
109,Really hate the #Microsoft #mcp site,negative
110,I sure as hell better be able to restore my calendar events. Terrible bug apple! @apple #icloud #anothericloudfail,negative
111,now look who'se the fucking tool!! Haha! Were there many ppl? I saw on twitter dat da bar gave away like 40 tix.. Noooo!! ,negative
112,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.",negative
113,"@loz_xx i didnt, i dropped the table on it yesterday at krew... ",negative
114,@pinguprue awwwwwwwwww Nooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo!!  thats awful ,negative
115,"Ouch, crash and burn. #Android facial recognition in #IceCreamSandwich didn't work during the presentation. http://t.co/6vsasZyT #Google",negative
116,"Back from HELLwan, weather sux ",negative
117,@binhog737 Who knows what I'll get-I don't know until 4 hrs prior.  I am lining up for a Munich trip. Prolly end up w/ San Juan turn.  ,negative
118,@nevershout_jt Jess&lt;3 what happened?  you know i'm here for you...,negative
119,just got back from the E.R..i just had an epiphany!!! no more hot cheetos.. ,negative
120,"Working on a Sunday, No Tango today ",negative
121,"@ishaNikki Damnnn siikkk, I want it now ",negative
122,@jessemccartney wish i had the bills to see you this year  but i've been hearing nothing but good things about the performances!,negative
123,"Shit. It's a high pollen count day, and it's extra bright. I'm outside with no sunglasses and no hayfever medication. Awesome  #trackle",negative
124,The awkward moment when google #chrome take a hell of a lot time to load #googleplus #google,negative
125,"I ran 2 miles in 3 mile time today. &quot;I need a pacer&quot; is quite the understatement. I need to move back to CO, where I always have a pacer ",negative
126,Why u telling tht nigga for?? N y u gonna stop talking to me??  @1SmooveCriminal,negative
127,People should be more interesting on #facebook and #twitter at midnight. I'm getting bored.,negative
128,@natalietejeda sad punky sad    thanks for stopping by,negative
129,#Twitter are you freaking kidding me #wth... http://t.co/zKn2bu5R,negative
130,"Lots of tech support roles for the banking industry, needing experience in the sector! ",negative
131,#skype is now part of stupid #microsoft it seems,negative
132,"iMessage doesn't show the time a message was sent, annoying @apple",negative
133,Wow. iCloud's mail is down. 1st the iOS 5 upgrade issues and now this. I really hope this isn't @apple without Steve Jobs.,negative
134,Hey Everyone SO SORRY For Abandoned My Twitter  But I Promise Leave NOT my Abandoned Twitter ! ,negative
135,"ugh! @apple, you’re reservation page for the iPhone is NOT working.",negative
136,so bored! ,negative
137,@mefries Hours lost in the parks   I am so sorry!,negative
138,U guys ever been to NY?? I have not...  #newyork,negative
139,i miss my baby in japan ,negative
140,Does anyone know of a good laundromat near nathan campus or sunny bank plaza? The washing machine at home is broken. ,negative
141,@restylestari ouww  i tho my superhost restylestari really got dat job !! fuhh.. it is alrite huh! do u want togo there ?,negative
142,"@Apple #iOS5 NONSTOP DROPPED CALLS&MUTE BUTTON RANDOMLY ACTIVATING&PERSON CANT HEAR ME, PULL PHONE FROM EAR TO BE ON A ""MOBILE ME"" SCREEN",negative
143,what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles,negative
144,...fighting over the avaliable washing machines at my apt for the last couple of hours. Stupid lady has been using them the entire day ,negative
145,What no peach ice tea! Toscani's has ran out.  What is this world coming too!,negative
146,starting to look fat again. can't control eating habits. ,negative
147,"Installing .NET framework, this might take very many years. Come back when your unborn child is in college. #microsoft",negative
148,working sucks  but i need the money for a beagle lol love you jason,negative
149,@JefferyPatch LOL definantly not hot haha. And I would for sure cry if u kicked my unhealed boobs ,negative
150,ew ew ew ew ew ew sick ,negative
151,"@vickixashton i have.. 19 days left, and.. I Have 10 exams left! ",negative
152,@chenelleworld yeah it's a sad day for me..mwas really looking forward to connecting ,negative
153,"@hiimkevin whatevs, you're all emo with your  faces",negative
154,"@pjraval They searched my person, too. One grabbed my stomach under my sweater. That's what I get for wearing a sweater in snowy weather. ",negative
155,"@nathanguyen yeah wont forget. man, nate. my girls night drunk ended early  im bored. come chill with me and mocha.",negative
156,Live tweet streaming on #Sytycd .. I miss Dena and Lisa ,negative
157,&quot;Ms. White...in the lounge...with the wrench&quot; Followed by:  &quot;Who the fuck didn't show me the lounge!?  Who the fuck- oh.  I had it.&quot; ,negative
158,Front row at Campbell's grad. Can't use my air horn.  http://twitpic.com/6sw1j,negative
159,The search is on ,negative
160,I look like a fish today. ,negative
161,@GiinyOjeda I am lost. Please help me find a good home. ,negative
162,@tomasekeli I agree...kids get so sad when they're sick. ,negative
163,Watching &quot;American Dad&quot; on Hulu then going to sleep for another long day of school. ,negative
164,Oh dear I just dropped my glass. Amazingly it ddnt smash bt it did spill all down my leg and the floor ,negative
165,@haleyxfax &amp; I DON'T dig the lack of love. We're going through withdrawls? We miss the lurklove  Where oh were have our boys gone? lol-ish,negative
166,Dad having fever again.. Not looking too good ,negative
167,Just went to pitch and put with Elena! I lost ,negative
168,typing cf rally list. tired. ,negative
169,"@cmartini86 Yeah, we didn't see a lot of people!  it was just a bad week to come, I should be back in a month though! hopefully...",negative
170,"@maddie845 Oh yesterday i bought a dress , and at school they said that its too short  grrr.!",negative
171,Definitely could not sleep last night without my blankie ,negative
172,Last day of school.... I'm gonna miss everybody ,negative
173,ugh!!! p.e FIRST thing in the morning!  boring english and the bad science! ,negative
174,"fact: i still love him...you learn from mistakes, just hope i don't repeat them again. 9 days ",negative
175,none of my apps work after the new ios from @apple. what do i do?!?,negative
176,i'm in the school now ,negative
177,&quot;Binthia&quot; is serious now. She hot really quiet and looks mad tired. Kinda feel bad cuz she had to drive after only sleeping a few hours ,negative
178,is @ work... ,negative
179,Shit dead for science exams tomorrow ,negative
180,It's just a dream at this point. Too much to do.  Have to decide what's for dinner.,negative
181,Everyone's talking about the goodies at #BEA09.  I wanna be there.  ,negative
182,"@rubygirl77  ... oh its over, and no action ",negative
183,"lots to do, back is screwed, wtf is up with that?!  plus it's BEAUTIFUL outside  come on now - work with me here...",negative
184,"I never want to fall asleep, i had a bad dream last night ",negative
185,"IOS5 has one problem, when i save someone in my contacts they don't show his nam becuz of the region/ +965 @apple #apple",negative
186,"@DanggItsDevin hahar, whaaat concert youu goiing too? man yourr lucky  youu couldnt go &amp;&amp; not geht me anything ahar. ",negative
187,"@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the ""newest"" model are suckers...",negative
188,@BBManik naw  are you!?,negative
189,"Also @EricGreenspan, don't forget @Apple stop closing the app store after each bloody purchase...",negative
190,fuck u @apple,negative
191,I'm not ready to go to school yet. ,negative
192,http://twitpic.com/7v5ux - Yup! The &quot;filling station&quot;. Ours at home closed down though ,negative
193,"@fredlero Yeah it sucks big time, now i'm stuck with 5 weeks of holiday and nowhere to go! I feel sorry for the Tibetans ",negative
194,Man #Twitter Is Gettin #BORING,negative
195,"Spent evening looking after suki doggy shitting herself everywhere, falling off the decking into ditch and whining &amp; running into things ",negative
196,Distrust and angst amongst #Nokia employees against #Selop #Microsoft fixation. http://t.co/jkOTcrMb,negative
197,i woke up too late to work out  looks like i'm doubling up tomorrow!,negative
198,The place is covered with little white and green threads.The dog totally destroyed her rope tug toy! I wish the vaccuum  wasn't broken. ,negative
199,"Spoke to an @Apple rep on phone & could hear her tv blaring in the bg.  She said, ""I can't actually help u, just direct u back to the web""",negative
200,"It baffles me that Steve Ballmer can be a CEO of a company, let alone a giant like #Microsoft - The guys a moron.",negative
201,@SharneseLaNier Glad ur gr8. Sorry cold/damp/raining!!  Kinda cool here. Was down @ 44 overnight!!,negative
202,Great iam geting sick  takeing a sh0wer  (DIE OR DANCE),negative
203,good afternoon ladies and gents..... let my day begin (i sleep in too much) ,negative
204,"curled up on my mum's couch, with the heating on, a hoodie, a blankie and i'm still FREEZING... i'm coming down with something, aren't i? ",negative
205,@Ploeger39 Lance I miss you  Shay is getting picked on too much and crying about it...come home!,negative
206,omg just came back from the store and my knee feels like it wanna just break on me any second now... ughh felt like this since earlier ,negative
207,@DJMighty awe....  I wonder if they have Hanging w/ mr cooper on Dvd set? Lol,negative
208,http://img117.imageshack.us/i/windchimezp4.jpg/ lol going through my imageshack.. i dont know where this wind chime is currently  sadface,negative
209,@lomara So sorry to hear that Kim.  ,negative
210,@jennypoynter i miss you too ,negative
211,@cursedbyevil  Can you buy a Matt Bellamy for me?,negative
212,"@blaykee  i'm sad too, it's a pandemic ",negative
213,I have no idea who those blokes are  @DCbigpappa @dandyscopic  @wrhunt @downtheticket @DCBadger @jwtrautman  http://pikchur.com/aD9,negative
214,"So ""cutting the cord"" makes podcasts even harder to manage?!? No subscriptions! WTH, @Apple? http://t.co/LD2i871x #iOS5 (via @carrypad)",negative
215,i just realized that i cannot play halo successfully.  utter sadness ensues.,negative
216,"Sara graduates on Thursday, I am sooo not ready for this!   I don't want her to grow up.",negative
217,i wish they'd release the full line up for t4 on the beach now! too impatient to wait ,negative
218,"Poor Dyno  he's okay though, he didn't get flushed all the way!",negative
219,"@stephtara Ahh, I can beat that. Support ticket to @twitter Jan 26-confirmed not fixed. Mar 12 they marked it fixed-no change on problem! ",negative
220,Still having problems getting a pic on profile!  ,negative
221,@imcute519 grr I know!!! And especially m/u tutorials. It's like damn! I just put all this on for no reason ,negative
222,"At home, and bored as hell. The Lakers 2-2 ",negative
223,"Oh dear, ice cream was promised. Freezer box disagreed and decided to melt all our food  It's a busy week in binsville ",negative
224,"Just when I thought it was all over and there would be no more  but wait, UNSEEN footage of the RHONJ dinner drama!!!",negative
225,@adamficek what's happening to bletchley?!? ,negative
226,@elliotmacaluso I opened.... without you ,negative
227,Fixing a pc that thinks it is 1601. I thought #Microsoft had the Y1.6K issue fixed already. #Techsupport,negative
228,"Thanks guys, seems a bit too hard to get out there right now so we not go there this time ",negative
229,@apple What's the point of iCloud wireless updates when ios5 now forces me to use the computer to charge my ipod touch now? #worstupdateever,negative
230,How #Apple eclipsed #Microsoft http://t.co/IJ6XyDp3  #sun rise #in via @guardian,negative
231,@BroadcastKC Pepsi cracked down on Mexican stuff ,negative
232,Just updated my calendar and now I am on holiday when we are still rolling out a project! ,negative
233,@geeinbetweemo YOU MADE FUN OF ME WHILE AT SIX FLAGS  im hurt,negative
234,@melissaxroo LOL yeah she hecka reminded me of you. well i asked my dad &amp; he said fri &amp; sat your parents tryna go camping! DONT GOO! ,negative
235,Comp crash #Microsoft :/ Wouldn't get this with an iMac -__-,negative
236,"Now, really #google how hypocritical is this? http://t.co/6nHuYFeh #analytics",negative
237,"@revdal @fibrefairy I keep dropping (un)subtle hints to @sjrdouglas, but I'm not sure that she's hearing them ",negative
238,"#flyinglushes #flyinghussies DD19 says its time 4 her to have computer now,  guess I'll have to be gracious and let her have it",negative
239,Off to the apple hospital in Solihull with Chris's iPhone. He is bereft! ,negative
240,I really hate that @apple won't let you hide the Newsstand app or move it into a folder. It serves no purpose for me.,negative
241,Still at work!! ,negative
242,@Gameboy_ontheb na cuz you said at this white people party you hate me ,negative
243,"Thanks to a 90 minute wait on hold, half an hour actually talking to someone, the @Apple tech decides to send me an email to fix my phone",negative
244,Thanks @apple for an OS update that has only succesfully bricked my iPod.,negative
245,Five days xcable NE wind. Bet the lads will be out to bag those Okeford &amp; Maiden Castle records. And I'm stuck in Dartford ,negative
246,#Twitter got DEAD as fuck all of a sudden!!!,negative
247,@laratf I know..I heard that it waqs divorce ,negative
248,Not a fan of the male population right now. Heart broken and getting kicked while I'm down and out. Sad face ,negative
249,"I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!",negative
250,"i killed my beautiful hydrangea over the weekend,note to self if u like going away for the weekends,dont get yourself a hydrangea.how sad ",negative
251,#squarespace #trackle I am sad because I got called off of work  make my day?,negative
252,@getmeatowel lol i know and the ones that are here are gay ,negative
253,"Ahh, my eyes are so itchy ",negative
254,"“@philipgrey: dear @apple, why you gotta go change the way &lt;input type=""number""&gt; is handled out of the blue?”",negative
255,At the dermatologists office ,negative
256,So my iMessage still isn't working! @apple,negative
257,I know ima have a bad dream....its diggin its way to the surface...that's why I dopnt wanna sleep ,negative
258,can't feel her lips after d jab... 4 tiny wires r now replaced with 2 bigass wires on top of d 2 existing wires! Gawd!!! ,negative
259,@cuuz sorry I missed the meeting this morning. I slept straight through.  still sore of course but breathing better.,negative
260,@Blackberry does take better quality photos than @Apple iPhone though. I give them that! #photograhersEye,negative
261,2 followers removed me ,negative
262,I just hit my head on the ceiling on the staircase. That was stupid. And it hurt ,negative
263,don't think i can get anything right today ,negative
264,@apple why does #iPhone4 plus #iOS5 equal half the battery life?,negative
265,@eviecreeps i teared up ,negative
266,I'm making I Spy pictures   It's fun.  But I have to wait to do proper photos because it's too dark now   Pictures are grainy x.x,negative
267,omg.i cant belive what i do.i send a gift on facebook to my crush and i say &quot;i just want to say that im not in love with u&quot;..but i am ,negative
268,@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life.,negative
269,The a/c in my car stopped blowing cold air! ,negative
270,"gm ..my little twitter bugs ,,hot day in Tn today,,,watered the garden,,,didnt win the chair for fathers day  and watched the jo bros LOL",negative
271,"@RyanSeacrest Hey, still the wrong one ",negative
272,I really really wish I could be listening to Electric feel right now! Stupid work not lettiing me listen to music! ,negative
273,"I miss him, I do. ",negative
274,still not quite sure how to use this/what the point of it is... #twitter? #idontunderstand,negative
275,@BrittGoosie aww -huggles- you are a bit of a klutz. Hope you aren't too damaged from the fall ,negative
276,"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no ""Authorize this computer"" button.",negative
277,"i just got my heart broken, the guy i like , its kinda in love with a friend of mine and he wants me to help him!  sad",negative
278,@apple does iOS 5 rape your battery life? or am I just using my phone a lot since getting it,negative
279,@aLexR0kz the whole waiting list thing is scaring me. i'm just praying i get in january. let's just hope 77 is a lucky number ,negative
280,@hansonmusic I wish the fan event in Tulsa was NOT during my college graduation  miss you guys!,negative
281,Seriously why do people cut their cut 9 o'clock in the morning?!?!?!?!?!?!? Now i cant go back to sleep ,negative
282,going now  bye followers. see ya tomorrow! #KevinJonas ,negative
283,"Missing a chance to sub with Cheds.  More rational heads (Bill) prevailed however, as I sat here hacking up a lung. ",negative
284,@flmogirl so glad to see you this weekend!! It had been too long!  Hope you had a safe trip home!,negative
285,whoah. i'm starting to miss him ,negative
286,"@dj_wonder Don't worry about it, you have to have had 1000 friends before 31st May to qualify ",negative
287,I want ice cream.   ,negative
288,Well @apple seems 2b screwing #iphone 4s resellars. They still dont have 4s. Yet were promised. Similar 2 Ma Bell's monopolistic prctices?,negative
289,@BarryBrothers I am lost. Please help me find a good home. ,negative
290,One would think the voice recognition on the @apple tech support line would work a little better.,negative
291,"Dear @Apple,Congratulations, I am suing my insurance company and you just managed to make it to the top of my shit list. #Ineedthosepictures",negative
292,Great time to be a family? #Microsoft #advertising enrages me. Again. http://t.co/pYT7vKRP,negative
293,"@pumpupositive No prob on the sun...heading your way!!! BTW, A little restriction is exactly what I need...I have no self control lately! ",negative
294,"Is currently at work and counting down the hours until she's finished. 18 down, 7 to go ",negative
295,"@justerzz AWWWWH. i guess. everyone is gonna think i'm fake tho, now. ",negative
296,@sudhamshu yes man.. and i ended up watching it.. too ,negative
297,bored again ,negative
298,@apple just now seeing none of my Microsoft Office programs work anymore after Lion upgrade. Why??,negative
299,"@oldmanknott nice dude. Mr Henry enjoyed it, I'm guessing. Listening to an awful cover of mandolin wind on spotify acoustic moods of rod ",negative
300,#google+ is really confusing..,negative
301,"Don't like killing my own kind, but tha git wouldn't shut hs trap! Now ta drink in peace!  almost wish Dru was at my side. ",negative
302,"@MrsPinkyIvory  And i knoww girl!!! I but in the game before that tho LeBron was beastin, i thought they had it, but it was all bad ",negative
303,Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f,negative
304,"another Darren Aronofsky film tonight, cant wait, Pi was amazing. housework time now  before dinner of spag bol",negative
305,Only thing #iOS.5 has done is deleted my tiger woods game and made impossible to retrieve. Thanks @Apple!,negative
306,@_misshannah damn you !!!  that's properly unfair!,negative
307,"Bah! Exciting stuff from Kimi, wish he wasn't full of fuel though  #f1",negative
308,I hate #Microsoft PowerPoint!,negative
309,Wow its amazing how fast a year goes...@ William and Mary hall watching the class behind me graduate... ,negative
310,exhausted and I have a brutal headache ,negative
311,Forgot bout Ellens 1000th show today  sorry Ellen,negative
312,MASSIVE rave on July 4th. Tickets are $35 though  http://bit.ly/14Uhlt,negative
313,I don't understand men! Relationships..ugh! How does one mend a broken heart? Why doesn't one communicate! ,negative
314,@Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp,negative
315,"lyin in bed, up faaaaar too early ",negative
316,#stupid fucking #Twitter #Twitterapp give me my Damn #mentions NOOWWWWWW!!!!! UGH! #DRAWLIN AS ALWAYS #TMW #PROMOALLDAY #FOLLOWLIMITISGAY TO,negative
317,RT @ManelFMartinez: How #Apple eclipsed #Microsoft http://t.co/IJ6XyDp3  #sun rise #in via @guardian,negative
318,Interesting read - How #Apple eclipsed #Microsoft http://t.co/hFWpbMY6 via @guardian (cc: @elcheicon),negative
319,gonna miss britains got talent  so want julian smiths album,negative
320,23 degrees out [hot for ireland] and im freezing ,negative
321,Cant Believe Nadal out of French open  but I am happy - Federer its ur turn now,negative
322,RT @nagoul1: #Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs,negative
323,@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?,negative
324,Just got on to do college work thinking bout my baby darnell. ,negative
325,". @_Desperado Yep, PP8 vs PPQ, aside form another 8, he/she needed four cards for the str8... ",negative
326,#firstrecord i actually have no idea  *think* my first cassette was Hangin' Tough by NKOTB. first 7&quot; Leave A Light On by Belinda Carlisle!,negative
327,work was horrible. so damn busy. why???WHY?????? sore now ,negative
328,good night losers...have to wake up early manana ,negative
329,So much garbage. #Twitter,negative
330,@DesMouseasaurus  What happened?,negative
331,@Willie_Day26 y cant i get a &quot;wuts up Lynz&quot; one day like u b doin all ya celeb friends?!  still love ya tho!,negative
332,where you go ? i miss you so ,negative
333,Shadow ran away...  ,negative
334,"@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint, Sprint blames @apple, I just want an honest answer.  #help",negative
335,Exam over. Barcelona tomorrow. Just finished packing... well my kind sister just did. ;) I WANT TO SEE BRUNO! ,negative
336,@d3causey I would take it but FB is being silly and won't let me.  It keeps telling my to make my own. :-S,negative
337,@Apple can suck my dick gotta restore my ipad #annoyed,negative
338,"@Erion i feel like i got hit with the black plague, so sick  and it's raining which we both know it entirely YOUR fault! haha",negative
339,@chrace21 Ah sucks  I have been thinking bout it for 2 weeks straight now. So tempted today.,negative
340,Home from work... Was missing my maddie bug   Now off to put clothes away and make our bed!!! Maybe sleep in it tonight!!!,negative
341,@nodgarb no fair! There's no beer here ,negative
342,Lack of telly is super gay  might put the iplayer on to get some background tv noise!,negative
343,@janeownsyou orlando bloom too! his is like fake and not him ,negative
344,Throwing up ,negative
345,"nice day today, brill. But got work... ",negative
346,Damn no one? Das messed up. Ppl only watch out for theirselves these days ,negative
347,What a beautiful day! Going to edit Lisa Maxwell interview from her last day at The Bill now. Shame I can't see my laptop screen outside ,negative
348,trying to help my youngest daughter get over a break-up with her boyfriend ,negative
349,its going to be too hot for clothes today ,negative
350,"@TheHours Yep, and I was really looking forward to it but now don't think I can go ",negative
351,@savvygrl Eww.. That looks gross... I am guilty of still eating fish... ,negative
352,Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.,negative
353,@jawsytown I know. ,negative
354,"Is it too much to ask which app is incompatible, @apple? http://t.co/yKqip7nk",negative
355,Out of school. I'm going to miss everyone so much!  &lt;3,negative
